transaction_id,customer_id,amount,hour,merchant_category,country,is_international,device_age_days,account_age_days,transactions_last_hour,transactions_last_24h,distance_from_home_km,card_present,previous_declines_24h,avg_transaction_amount_30d,amount_vs_customer_average,is_new_merchant,fraud
tx_evaluation_00000000,cust_011324,85.13,23,luxury,US,0,232,1541,2,12,14.7,1,0,115.85,0.735,0,0
tx_evaluation_00000001,cust_006524,131.39,6,restaurants,US,0,189,813,3,10,18.53,1,2,20.41,6.437,0,0
tx_evaluation_00000002,cust_009443,37.13,13,groceries,FR,1,448,932,1,3,67.59,1,1,45.99,0.807,1,0
tx_evaluation_00000003,cust_011098,26.88,3,online_retail,FR,1,247,675,2,6,18.09,0,1,60.29,0.446,0,0
tx_evaluation_00000004,cust_005720,9.1,4,fuel,US,0,439,764,1,8,20.34,1,1,17.62,0.517,0,0
tx_evaluation_00000005,cust_011608,176.2,18,travel,US,0,244,525,1,8,71.53,0,0,37.21,4.735,0,0
tx_evaluation_00000006,cust_005785,67.81,21,online_retail,US,0,262,2059,5,12,110.52,1,1,28.88,2.348,0,0
tx_evaluation_00000007,cust_002664,81.92,3,restaurants,US,0,319,446,1,9,11.73,0,0,27.33,2.997,1,0
tx_evaluation_00000008,cust_002096,30.46,4,groceries,US,0,282,979,1,7,6.5,1,0,23.82,1.279,0,0
tx_evaluation_00000009,cust_005371,227.35,9,fuel,US,0,495,403,1,7,85.29,1,1,58.57,3.882,0,0
tx_evaluation_00000010,cust_006804,171.26,9,luxury,US,0,532,896,1,6,57.26,1,0,92.34,1.855,0,0
tx_evaluation_00000011,cust_003234,59.04,5,fuel,US,0,129,667,2,9,24.5,1,1,53.17,1.11,0,0
tx_evaluation_00000012,cust_009986,38.25,14,groceries,US,0,251,597,0,4,21.64,0,0,12.19,3.138,1,0
tx_evaluation_00000013,cust_007827,46.68,6,fuel,US,0,110,554,1,9,49.51,1,0,23.11,2.02,1,0
tx_evaluation_00000014,cust_002489,30.01,11,restaurants,US,0,167,1041,3,9,78.9,1,0,11.75,2.555,1,0
tx_evaluation_00000015,cust_008905,68.48,3,electronics,GB,1,492,756,0,5,75.55,1,1,124.48,0.55,0,0
tx_evaluation_00000016,cust_001642,36.01,21,fuel,US,0,387,1248,2,6,15.58,1,0,78.22,0.46,0,0
tx_evaluation_00000017,cust_005882,119.77,21,online_retail,US,0,220,2252,2,4,210.29,1,0,5.82,20.578,0,0
tx_evaluation_00000018,cust_000537,46.55,16,online_retail,BR,1,406,1150,1,4,9.26,1,0,71.39,0.652,0,0
tx_evaluation_00000019,cust_004375,46.81,23,electronics,US,0,142,2481,0,14,19.0,1,1,56.46,0.829,0,0
tx_evaluation_00000020,cust_008151,310.21,2,groceries,US,0,340,1097,1,10,13.78,1,0,80.33,3.862,0,0
tx_evaluation_00000021,cust_004320,32.27,8,groceries,US,0,180,848,0,4,16.02,1,0,45.9,0.703,0,0
tx_evaluation_00000022,cust_001551,13.9,22,luxury,DE,1,1018,774,3,8,86.27,1,0,30.0,0.463,0,0
tx_evaluation_00000023,cust_011816,96.18,14,electronics,US,0,165,854,1,3,114.01,1,0,66.31,1.451,0,0
tx_evaluation_00000024,cust_000660,8.35,2,utilities,US,0,203,838,0,8,20.64,1,0,29.59,0.282,0,0
tx_evaluation_00000025,cust_004380,86.87,0,groceries,US,0,114,472,1,6,78.91,1,1,54.81,1.585,0,0
tx_evaluation_00000026,cust_001760,177.99,22,groceries,US,0,77,1218,1,8,37.38,1,0,60.1,2.962,0,0
tx_evaluation_00000027,cust_005726,71.53,1,groceries,US,0,422,1854,1,10,69.99,1,1,15.43,4.636,0,0
tx_evaluation_00000028,cust_008044,67.31,23,electronics,US,0,175,2020,1,8,59.5,1,0,72.54,0.928,0,0
tx_evaluation_00000029,cust_011173,8.58,21,groceries,US,0,258,965,2,7,42.94,1,0,66.53,0.129,0,0
tx_evaluation_00000030,cust_000590,116.2,12,electronics,US,0,441,1315,1,8,85.74,0,1,19.45,5.974,0,0
tx_evaluation_00000031,cust_000077,99.12,18,restaurants,US,0,239,1860,2,12,50.48,0,0,99.07,1.0,0,0
tx_evaluation_00000032,cust_005463,20.66,13,travel,US,0,388,986,5,9,30.06,0,0,92.74,0.223,0,0
tx_evaluation_00000033,cust_005333,451.77,13,groceries,US,0,279,508,2,9,67.69,1,0,85.64,5.275,0,0
tx_evaluation_00000034,cust_010925,19.61,9,restaurants,CA,1,178,234,2,7,25.54,0,0,17.15,1.143,0,0
tx_evaluation_00000035,cust_003564,12.44,8,groceries,JP,1,609,1467,1,7,102.09,0,0,71.32,0.174,0,0
tx_evaluation_00000036,cust_009036,10.9,0,groceries,US,0,521,2565,2,13,23.51,0,1,75.52,0.144,0,0
tx_evaluation_00000037,cust_001926,68.44,0,groceries,US,0,507,1874,2,8,63.56,1,0,25.79,2.654,0,0
tx_evaluation_00000038,cust_004272,93.49,11,utilities,US,0,138,1197,1,11,39.74,1,1,12.37,7.555,0,0
tx_evaluation_00000039,cust_005419,103.65,10,travel,US,0,619,2397,4,12,36.26,0,0,120.49,0.86,0,0
tx_evaluation_00000040,cust_010483,47.59,10,fuel,US,0,272,3207,1,10,40.31,1,0,28.81,1.652,0,0
tx_evaluation_00000041,cust_001114,29.59,21,fuel,US,0,289,778,1,7,73.93,1,0,169.7,0.174,1,0
tx_evaluation_00000042,cust_010417,154.9,19,restaurants,US,0,65,856,2,8,56.84,1,0,52.89,2.929,0,0
tx_evaluation_00000043,cust_004441,27.18,8,online_retail,MX,1,201,1795,1,8,35.26,1,0,45.85,0.593,0,0
tx_evaluation_00000044,cust_003898,19.89,22,online_retail,CA,1,398,2186,4,8,52.52,0,0,32.9,0.605,0,0
tx_evaluation_00000045,cust_001532,270.78,10,electronics,US,0,169,459,2,9,60.79,1,0,88.08,3.074,0,0
tx_evaluation_00000046,cust_006292,79.64,16,electronics,US,0,512,856,1,12,4.39,1,0,101.04,0.788,0,0
tx_evaluation_00000047,cust_011981,106.84,9,travel,US,0,139,2271,1,11,44.78,0,0,120.07,0.89,0,0
tx_evaluation_00000048,cust_007698,124.69,11,groceries,US,0,391,1045,1,13,63.98,1,1,22.9,5.444,0,0
tx_evaluation_00000049,cust_010819,37.65,14,groceries,US,0,704,1125,0,4,2.95,1,0,36.52,1.031,1,0
tx_evaluation_00000050,cust_004876,39.14,18,groceries,US,0,193,591,1,5,42.31,1,1,32.98,1.187,0,0
tx_evaluation_00000051,cust_011903,126.54,22,fuel,US,0,455,1606,3,6,31.81,1,0,30.68,4.125,0,0
tx_evaluation_00000052,cust_007063,35.98,10,fuel,US,0,353,1427,2,7,44.24,0,0,71.76,0.501,0,0
tx_evaluation_00000053,cust_003543,93.32,4,fuel,CA,1,129,1619,0,5,62.83,0,0,82.78,1.127,0,0
tx_evaluation_00000054,cust_003527,60.98,22,electronics,US,0,327,744,2,10,20.69,1,0,54.56,1.118,0,0
tx_evaluation_00000055,cust_000981,20.2,17,travel,US,0,436,446,0,5,63.13,1,0,115.87,0.174,0,0
