transaction_id,customer_id,amount,hour,merchant_category,country,is_international,device_age_days,account_age_days,transactions_last_hour,transactions_last_24h,distance_from_home_km,card_present,previous_declines_24h,avg_transaction_amount_30d,amount_vs_customer_average,is_new_merchant,fraud
tx_live_00000000,cust_005592,283.15,0,groceries,US,0,364,974,1,10,18.71,0,0,25.6,11.059,0,0
tx_live_00000001,cust_002586,73.87,10,restaurants,FR,1,152,1833,0,10,60.46,1,0,65.71,1.124,0,0
tx_live_00000002,cust_005179,92.46,15,fuel,US,0,227,1293,1,6,43.96,0,0,27.53,3.359,1,0
tx_live_00000003,cust_003321,207.78,21,restaurants,US,0,576,2238,1,12,58.74,1,0,21.43,9.698,0,0
tx_live_00000004,cust_010141,152.06,16,online_retail,US,0,150,831,2,9,7.97,0,0,33.27,4.57,0,0
tx_live_00000005,cust_006873,118.98,13,groceries,US,0,76,2058,0,4,66.91,0,0,55.32,2.151,0,0
tx_live_00000006,cust_011236,45.64,4,groceries,US,0,332,1346,0,7,92.59,1,0,220.04,0.207,0,0
tx_live_00000007,cust_007748,24.07,5,utilities,US,0,329,1072,2,7,18.59,0,1,29.96,0.803,0,0
tx_live_00000008,cust_008046,97.14,4,fuel,US,0,415,842,1,7,71.41,1,0,7.75,12.531,0,0
tx_live_00000009,cust_004858,39.97,5,travel,US,0,404,709,4,11,5.94,1,0,10.01,3.993,0,0
tx_live_00000010,cust_002364,152.51,5,groceries,US,0,258,1702,2,10,15.27,1,0,76.71,1.988,0,0
tx_live_00000011,cust_008365,82.37,14,online_retail,US,0,461,922,1,6,39.83,1,0,67.4,1.222,0,0
tx_live_00000012,cust_008904,31.65,17,online_retail,US,0,197,1406,1,12,44.88,1,0,38.14,0.83,0,0
tx_live_00000013,cust_011383,87.16,5,groceries,MX,1,160,1583,0,5,32.84,0,0,26.05,3.345,1,0
tx_live_00000014,cust_003723,135.53,15,groceries,US,0,441,1185,2,8,5.99,1,0,29.45,4.602,0,0
tx_live_00000015,cust_009848,79.64,12,groceries,US,0,285,1220,1,7,99.56,0,0,75.64,1.053,0,0
tx_live_00000016,cust_008968,30.49,18,travel,GB,1,269,1031,0,4,10.47,1,0,23.0,1.326,0,0
tx_live_00000017,cust_000976,2077.44,9,groceries,US,0,277,1610,0,1,65.01,1,0,33.23,6.0,0,0
tx_live_00000018,cust_000359,95.3,11,restaurants,US,0,579,1066,2,9,6.24,1,0,304.46,0.313,0,0
tx_live_00000019,cust_004912,152.06,22,groceries,DE,1,207,347,3,8,21.95,1,1,82.95,1.833,0,0
tx_live_00000020,cust_000822,137.28,0,restaurants,US,0,80,1912,4,10,54.18,1,0,21.67,6.336,0,0
tx_live_00000021,cust_010932,26.89,14,groceries,US,0,245,1420,4,12,123.87,0,0,48.93,0.55,0,0
tx_live_00000022,cust_001806,40.54,16,fuel,CA,1,540,1127,2,7,35.61,1,0,50.15,0.808,0,0
tx_live_00000023,cust_002569,122.21,23,fuel,US,0,173,684,1,10,66.01,0,1,61.17,1.998,0,0
tx_live_00000024,cust_006764,12.21,4,groceries,US,0,560,760,1,4,32.07,0,0,27.2,0.449,0,0
tx_live_00000025,cust_003096,145.07,9,luxury,US,0,451,989,0,4,72.12,1,1,44.23,3.28,0,0
tx_live_00000026,cust_011157,28.81,23,restaurants,US,0,102,408,3,12,13.58,1,0,17.66,1.631,0,0
tx_live_00000027,cust_008933,43.74,23,online_retail,US,0,151,1432,2,9,100.47,0,1,44.87,0.975,1,0
tx_live_00000028,cust_011820,282.4,10,travel,US,0,161,965,2,16,19.46,1,1,23.44,12.047,0,0
tx_live_00000029,cust_010196,62.52,3,electronics,US,0,316,770,1,5,27.28,1,1,78.58,0.796,0,0
tx_live_00000030,cust_003744,49.31,14,groceries,US,0,453,2174,3,9,31.54,0,0,25.97,1.899,0,0
tx_live_00000031,cust_009738,88.36,3,restaurants,US,0,35,1223,1,6,46.19,1,0,122.64,0.72,0,0
tx_live_00000032,cust_007102,60.71,2,groceries,US,0,400,901,0,9,47.24,0,0,10.89,5.572,0,0
tx_live_00000033,cust_004359,35.66,12,online_retail,US,0,605,1483,0,11,34.11,1,1,91.19,0.391,0,0
tx_live_00000034,cust_004908,935.01,16,groceries,US,0,120,1224,1,4,5.15,1,0,30.54,6.0,0,0
tx_live_00000035,cust_004921,565.0,7,groceries,CA,1,399,284,1,10,233.73,1,0,72.16,7.83,0,0
tx_live_00000036,cust_003586,167.27,5,restaurants,US,0,223,1416,0,7,17.75,1,1,35.35,4.732,0,0
tx_live_00000037,cust_007172,103.33,6,online_retail,CA,1,743,330,0,6,69.14,1,0,43.91,2.353,0,0
tx_live_00000038,cust_006094,86.25,15,groceries,US,0,246,362,2,7,80.45,1,0,111.92,0.771,0,0
tx_live_00000039,cust_003037,893.24,17,electronics,US,0,408,900,1,8,3.68,1,0,16.06,6.0,0,0
tx_live_00000040,cust_002616,124.47,0,restaurants,US,0,107,617,2,6,97.06,1,0,13.05,9.535,1,0
tx_live_00000041,cust_006064,28.31,3,electronics,JP,1,239,566,1,7,91.21,0,0,56.33,0.503,0,0
tx_live_00000042,cust_007124,683.76,13,online_retail,US,0,179,1329,2,4,58.66,1,0,12.42,6.0,0,0
tx_live_00000043,cust_008647,70.26,17,online_retail,FR,1,354,2124,4,7,17.79,1,0,118.5,0.593,0,0
tx_live_00000044,cust_000738,370.87,6,groceries,US,0,738,1742,2,7,46.78,1,0,74.56,4.974,0,0
tx_live_00000045,cust_010807,54.0,6,restaurants,US,0,563,557,2,4,13.36,0,0,18.59,2.905,0,0
tx_live_00000046,cust_003801,233.17,22,online_retail,US,0,223,251,1,9,57.69,1,0,40.58,5.746,0,0
tx_live_00000047,cust_003361,21.0,13,electronics,US,0,125,1845,0,7,42.38,0,0,30.87,0.68,0,0
tx_live_00000048,cust_006597,91.19,1,restaurants,US,0,148,308,1,7,61.27,0,0,49.51,1.842,1,0
tx_live_00000049,cust_005444,32.74,0,online_retail,US,0,203,2200,3,8,57.35,1,0,102.81,0.318,0,0
tx_live_00000050,cust_008247,27.73,18,groceries,JP,1,561,833,1,9,35.46,1,0,34.76,0.798,0,0
tx_live_00000051,cust_007447,146.25,16,online_retail,CA,1,147,1508,1,13,16.88,1,1,58.21,2.512,0,0
tx_live_00000052,cust_000578,24.95,12,groceries,US,0,283,667,4,8,190.45,0,0,80.71,0.309,0,0
tx_live_00000053,cust_004928,58.08,6,groceries,US,0,238,1013,2,11,10.77,1,0,37.79,1.537,0,0
tx_live_00000054,cust_000650,33.05,16,electronics,US,0,213,392,0,7,35.57,1,0,30.97,1.067,0,0
tx_live_00000055,cust_002258,99.08,21,restaurants,CA,1,248,409,3,4,11.25,0,0,174.84,0.567,0,0
tx_live_00000056,cust_002481,88.02,9,restaurants,CA,1,438,1569,1,12,57.77,0,0,23.49,3.747,0,0
tx_live_00000057,cust_002862,7.65,20,groceries,US,0,93,1042,0,9,74.98,1,1,47.64,0.161,1,0
tx_live_00000058,cust_009609,134.46,1,electronics,US,0,484,1531,2,2,83.55,0,0,48.74,2.759,0,0
tx_live_00000059,cust_009030,36.26,5,fuel,US,0,116,1216,5,8,28.85,1,0,15.53,2.334,0,0
tx_live_00000060,cust_011723,496.61,21,electronics,US,0,241,1450,2,13,60.19,0,2,96.31,5.156,0,1
tx_live_00000061,cust_005073,161.46,9,groceries,US,0,227,879,1,4,39.31,1,0,28.78,5.61,1,0
tx_live_00000062,cust_003827,173.58,2,online_retail,CA,1,261,1120,2,10,5.56,0,0,21.78,7.968,0,0
tx_live_00000063,cust_003246,6.34,20,electronics,CA,1,239,411,1,4,35.09,0,0,56.66,0.112,0,0
tx_live_00000064,cust_007796,385.18,14,restaurants,BR,1,358,888,1,11,50.27,0,0,79.22,4.862,0,0
tx_live_00000065,cust_004255,71.31,7,travel,US,0,89,1107,4,12,91.61,1,2,17.17,4.154,0,1
tx_live_00000066,cust_011313,18.17,18,online_retail,US,0,382,1919,1,4,41.89,1,1,49.57,0.367,0,0
tx_live_00000067,cust_002120,92.97,5,groceries,GB,1,349,276,2,10,56.39,1,0,23.7,3.922,0,0
tx_live_00000068,cust_008827,244.37,12,fuel,US,0,367,1334,3,8,38.93,1,1,24.85,9.833,0,0
tx_live_00000069,cust_007674,14.26,16,restaurants,US,0,460,1162,2,11,16.66,1,1,26.05,0.547,0,0
tx_live_00000070,cust_008944,194.25,21,utilities,US,0,510,1153,1,2,73.22,1,0,47.33,4.104,0,0
tx_live_00000071,cust_006505,49.69,14,travel,DE,1,166,545,3,9,64.2,1,0,27.59,1.801,0,0
tx_live_00000072,cust_005628,39.21,1,groceries,CA,1,343,1418,0,7,28.1,1,0,49.39,0.794,0,0
tx_live_00000073,cust_006919,45.15,23,fuel,CA,1,124,805,0,9,78.55,1,0,70.98,0.636,0,0
tx_live_00000074,cust_009648,30.38,18,online_retail,US,0,253,3339,1,3,4.3,1,0,25.81,1.177,0,0
tx_live_00000075,cust_009135,83.04,0,travel,GB,1,167,1070,1,5,11.49,1,1,65.24,1.273,0,0
tx_live_00000076,cust_002150,87.11,20,groceries,US,0,407,905,1,10,9.71,0,1,20.31,4.289,0,0
tx_live_00000077,cust_001812,188.82,1,fuel,DE,1,199,2486,2,11,28.49,1,0,37.31,5.061,0,0
tx_live_00000078,cust_000596,268.04,14,travel,CA,1,171,1407,2,9,14.31,1,1,105.12,2.55,0,0
tx_live_00000079,cust_001320,49.77,13,groceries,US,0,530,698,2,9,40.24,0,0,46.18,1.078,0,0
tx_live_00000080,cust_007390,1796.54,18,fuel,US,0,120,1284,2,4,36.93,1,0,179.78,6.0,0,0
tx_live_00000081,cust_003533,21.87,17,travel,US,0,780,688,3,10,111.75,0,1,54.95,0.398,0,0
tx_live_00000082,cust_004924,126.83,17,travel,US,0,52,425,0,7,151.86,1,0,79.81,1.589,0,0
tx_live_00000083,cust_010755,23.29,16,electronics,US,0,92,1291,0,5,12.2,0,0,31.59,0.737,0,0
tx_live_00000084,cust_010571,39.26,9,restaurants,US,0,207,1314,0,7,86.38,1,0,24.61,1.595,1,0
tx_live_00000085,cust_006954,122.64,21,groceries,US,0,1261,425,2,8,117.68,0,0,55.98,2.191,0,0
tx_live_00000086,cust_001560,33.06,15,restaurants,US,0,319,1829,1,6,18.49,0,0,18.14,1.823,1,0
tx_live_00000087,cust_003413,109.52,17,electronics,US,0,157,1706,1,9,74.75,0,0,19.63,5.578,0,0
tx_live_00000088,cust_008280,16.4,6,fuel,US,0,256,1555,0,8,113.05,0,0,27.23,0.602,0,0
tx_live_00000089,cust_010749,33.92,21,electronics,US,0,367,396,0,7,44.64,1,0,39.11,0.867,0,0
tx_live_00000090,cust_008793,113.85,21,groceries,CA,1,301,722,4,17,57.53,1,0,64.21,1.773,0,0
tx_live_00000091,cust_004045,291.75,12,online_retail,US,0,269,363,3,12,62.44,0,0,91.27,3.197,0,0
tx_live_00000092,cust_010495,21.93,23,groceries,US,0,181,1911,0,5,31.9,1,0,39.11,0.561,0,0
tx_live_00000093,cust_001120,312.96,19,restaurants,US,0,71,1265,2,5,15.0,0,0,17.82,17.56,0,0
tx_live_00000094,cust_000343,87.2,19,groceries,FR,1,425,761,2,7,11.21,1,0,104.23,0.837,0,0
tx_live_00000095,cust_002050,608.73,10,groceries,CA,1,294,1227,1,6,88.0,0,1,58.35,10.433,0,1
tx_live_00000096,cust_009967,50.22,16,restaurants,US,0,323,1731,2,6,7.11,0,0,19.45,2.582,0,0
tx_live_00000097,cust_006138,41.22,11,utilities,US,0,530,2078,2,13,4.45,0,0,65.49,0.629,0,0
tx_live_00000098,cust_003128,92.37,0,groceries,US,0,298,800,2,8,16.3,1,0,132.61,0.697,0,0
tx_live_00000099,cust_011417,23.57,20,groceries,US,0,430,1231,2,11,29.2,1,1,75.28,0.313,0,0
tx_live_00000100,cust_005800,76.1,0,luxury,US,0,111,703,2,6,24.85,1,0,10.68,7.125,0,0
tx_live_00000101,cust_000810,63.26,3,travel,US,0,179,2449,3,8,17.5,0,1,12.78,4.949,0,1
tx_live_00000102,cust_003207,243.68,10,restaurants,US,0,258,316,1,8,17.1,0,0,41.2,5.915,1,0
tx_live_00000103,cust_008710,93.77,9,groceries,DE,1,315,616,2,6,20.95,1,0,75.16,1.248,0,0
tx_live_00000104,cust_007547,784.2,20,online_retail,US,0,120,2351,2,7,6.36,1,0,94.17,6.0,0,0
tx_live_00000105,cust_006668,18.82,9,luxury,US,0,124,1860,1,10,2.7,1,0,53.03,0.355,0,0
tx_live_00000106,cust_000794,26.5,13,fuel,US,0,704,1560,4,10,77.46,1,0,86.37,0.307,0,0
tx_live_00000107,cust_000731,9.07,19,groceries,GB,1,210,1457,2,6,55.82,0,1,69.14,0.131,0,0
