transaction_id,customer_id,amount,hour,merchant_category,country,is_international,device_age_days,account_age_days,transactions_last_hour,transactions_last_24h,distance_from_home_km,card_present,previous_declines_24h,avg_transaction_amount_30d,amount_vs_customer_average,is_new_merchant,fraud
tx_train_00000000,cust_005619,90.44,6,fuel,US,0,147,1293,0,5,42.03,0,0,39.94,2.264,0,0
tx_train_00000001,cust_003954,23.57,8,groceries,CA,1,304,589,3,6,96.99,1,0,72.16,0.327,0,0
tx_train_00000002,cust_008679,141.24,12,restaurants,US,0,652,1311,2,5,26.79,1,1,31.8,4.441,0,0
tx_train_00000003,cust_002222,170.81,17,luxury,US,0,769,1651,4,12,63.82,1,0,18.16,9.405,0,0
tx_train_00000004,cust_010469,9.48,20,groceries,CA,1,445,1689,4,8,7.9,0,1,52.96,0.179,1,0
tx_train_00000005,cust_000244,18.13,15,fuel,US,0,468,1324,2,11,77.74,0,0,557.43,0.05,0,0
tx_train_00000006,cust_008010,75.78,14,fuel,CA,1,829,1928,0,4,79.7,0,0,15.68,4.834,0,0
tx_train_00000007,cust_004222,48.61,20,travel,CA,1,442,666,0,13,52.75,0,0,102.89,0.472,0,0
tx_train_00000008,cust_004547,65.58,14,online_retail,US,0,190,2131,2,10,31.76,0,0,35.16,1.865,0,0
tx_train_00000009,cust_000119,28.42,2,restaurants,US,0,114,2191,1,7,51.63,0,0,50.13,0.567,0,0
tx_train_00000010,cust_006518,160.68,1,online_retail,MX,1,203,1352,2,8,26.85,1,0,32.35,4.966,0,0
tx_train_00000011,cust_010034,145.15,12,fuel,CA,1,326,1421,1,8,22.95,1,0,23.18,6.261,0,0
tx_train_00000012,cust_009478,71.24,0,luxury,US,0,510,588,1,9,103.23,1,0,148.8,0.479,0,0
tx_train_00000013,cust_009498,205.87,16,electronics,US,0,152,1135,1,6,93.93,0,0,70.59,2.917,0,0
tx_train_00000014,cust_011860,106.43,18,electronics,US,0,801,1732,2,8,39.77,0,0,34.56,3.08,0,0
tx_train_00000015,cust_005777,28.24,23,fuel,US,0,198,1633,1,5,34.98,0,0,19.18,1.473,1,0
tx_train_00000016,cust_001308,96.42,0,fuel,US,0,367,491,1,11,5.56,1,0,67.08,1.437,0,0
tx_train_00000017,cust_011286,25.56,14,groceries,CA,1,197,918,1,9,38.18,1,0,26.83,0.953,0,0
tx_train_00000018,cust_000604,160.53,22,restaurants,US,0,440,2012,1,7,12.04,0,0,70.96,2.262,0,0
tx_train_00000019,cust_003883,63.44,3,groceries,FR,1,393,638,2,11,20.62,0,0,87.73,0.723,1,0
tx_train_00000020,cust_001071,55.43,18,groceries,US,0,303,872,0,4,35.02,1,0,41.8,1.326,0,0
tx_train_00000021,cust_001240,33.75,23,electronics,MX,1,115,753,3,8,88.84,1,0,34.17,0.988,1,0
tx_train_00000022,cust_006148,226.45,1,online_retail,DE,1,278,1183,2,7,6.59,1,0,79.24,2.858,0,0
tx_train_00000023,cust_003671,57.14,11,groceries,US,0,271,1388,0,3,34.91,1,0,8.27,6.911,0,0
